page,id,format,pgfplots,plot,model,path
21,page-21-q3-a-solution-diagram,tikz,False,False,False,linear-complete-page-21/0/content/children/0/solutionDiagrams/0
21,page-21-q3-a-solution,tikz,False,False,True,linear-complete-page-21/0/content/children/0/answer/solutionDiagrams/0
21,page-21-q3-b-blank,tikz,False,False,True,linear-complete-page-21/0/content/children/1/questionDiagrams/0
21,page-21-q3-b-solution-diagram,tikz,False,False,False,linear-complete-page-21/0/content/children/1/solutionDiagrams/0
21,page-21-q3-b-solution,tikz,False,False,True,linear-complete-page-21/0/content/children/1/answer/solutionDiagrams/0
21,page-21-q3-c-blank,tikz,False,False,True,linear-complete-page-21/0/content/children/2/questionDiagrams/0
21,page-21-q3-c-solution-diagram,tikz,False,False,False,linear-complete-page-21/0/content/children/2/solutionDiagrams/0
21,page-21-q3-c-solution,tikz,False,False,True,linear-complete-page-21/0/content/children/2/answer/solutionDiagrams/0
21,page-21-q3-d-blank,tikz,False,False,True,linear-complete-page-21/0/content/children/3/questionDiagrams/0
21,page-21-q3-d-solution-diagram,tikz,False,False,False,linear-complete-page-21/0/content/children/3/solutionDiagrams/0
21,page-21-q3-d-solution,tikz,False,False,True,linear-complete-page-21/0/content/children/3/answer/solutionDiagrams/0
22,page-22-q4-diagram,image,False,False,False,linear-complete-page-22/0/content/questionDiagrams/0
28,page-28-q8-node-0-graph,tikz,False,False,False,linear-complete-page-28/1/content/children/0/questionDiagrams/0
28,page-28-q8-node-1-graph,tikz,False,False,False,linear-complete-page-28/1/content/children/1/questionDiagrams/0
28,page-28-q8-node-2-graph,tikz,False,False,False,linear-complete-page-28/1/content/children/2/questionDiagrams/0
28,page-28-q8-node-3-graph,tikz,False,False,False,linear-complete-page-28/1/content/children/3/questionDiagrams/0
28,page-28-q8-node-4-graph,tikz,False,False,False,linear-complete-page-28/1/content/children/4/questionDiagrams/0
28,page-28-q8-node-5-graph,tikz,False,False,False,linear-complete-page-28/1/content/children/5/questionDiagrams/0
35,page-35-q12-d-source-line,tikz,False,False,False,linear-complete-page-35/2/content/children/3/questionDiagrams/0
39,page-39-q1-a-diag,tikz,False,False,True,linear-complete-page-39/0/content/children/0/questionDiagrams/0
39,page-39-q1-b-diag,tikz,False,False,True,linear-complete-page-39/0/content/children/1/questionDiagrams/0
39,page-39-q2-a-diag,tikz,False,False,True,linear-complete-page-39/1/content/children/0/questionDiagrams/0
39,page-39-q2-b-diag,tikz,False,False,True,linear-complete-page-39/1/content/children/1/questionDiagrams/0
39,page-39-q2-c-diag,tikz,False,False,True,linear-complete-page-39/1/content/children/2/questionDiagrams/0
39,page-39-q2-d-diag,tikz,False,False,True,linear-complete-page-39/1/content/children/3/questionDiagrams/0
40,page-40-q3-a-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/0/questionDiagrams/0
40,page-40-q3-b-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/1/questionDiagrams/0
40,page-40-q3-c-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/2/questionDiagrams/0
40,page-40-q3-d-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/3/questionDiagrams/0
40,page-40-q3-e-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/4/questionDiagrams/0
40,page-40-q3-f-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/5/questionDiagrams/0
40,page-40-q3-g-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/6/questionDiagrams/0
